Title,Max,Min,Avg365,Current,Max Date,Min Date,Deal or No Deal
The Stand,18.00,7.19,14.26,13.86,2020-12-24 08:46:00,2019-05-02 15:40:00,62
"Promise of Blood (The Powder Mage Trilogy, 1)",17.99,8.78,12.99,12.99,2021-09-06 17:38:00,2019-03-29 12:48:00,46
"The Fifth Season (The Broken Earth, 1)",15.99,8.05,11.19,10.89,2021-11-01 22:00:00,2015-08-02 00:50:00,36
"The Expanse Boxed Set: Leviathan Wakes, Caliban's War and Abaddon's Gate",41.39,19.49,26.97,27.49,2020-12-12 15:08:00,2019-11-22 23:16:00,37
The First Law Trilogy,49.99,18.60,29.55,29.32,2024-12-02 02:06:00,2018-12-05 00:34:00,34
Malice,17.99,8.49,15.24,13.61,2020-08-28 00:40:00,2019-02-28 18:26:00,54
"Jade City (The Green Bone Saga, 1)",19.99,9.69,13.66,19.99,2025-09-15 15:54:00,2023-11-21 11:20:00,100
"The Shadow of the Gods (The Bloodsworn Trilogy, 1)",17.99,9.17,13.74,11.69,2024-12-05 09:52:00,2024-11-25 21:10:00,29
Interview with the Vampire,9.99,4.72,8.82,9.29,2024-04-28 07:16:00,2017-07-07 05:40:00,87
The Hitchhiker's Guide to the Galaxy,14.99,6.34,10.41,10.58,2023-10-21 06:56:00,2019-12-17 10:00:00,49
"The Histories of Middle Earth, Volumes 1-5",44.99,17.24,29.26,23.83,2022-12-14 18:56:00,2019-11-23 10:04:00,24
Timeline: A Novel,18.00,7.59,15.65,15.99,2020-05-14 13:30:00,2019-12-09 06:00:00,81
The Dark Lord Trilogy: Star Wars Legends: Labyrinth of Evil Revenge of the Sith Dark Lord: The Rise of Darth Vader,24.00,8.51,18.02,17.99,2025-05-21 18:08:00,2017-07-15 20:00:00,61
George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire Series),46.12,17.45,30.45,45.91,2018-09-27 14:44:00,2019-09-06 01:46:00,99
